id,lead_id,source_category,created_at,preferred_location,timezone_location,current_status
1,76dbff4a304e140895ed70965a4bab40,Online,2024-06-02T12:16:57.664Z,SENAYAN,Asia/Jakarta,Fresh
2,018fd2bb3266eec57058bf19f9de1d12,Online,2024-08-07T19:14:16.044Z,CIKARANG,Asia/Jakarta,Appointment
3,7868de02df01c129e367b44f1b60935c,Online,2023-09-23T12:05:13.078Z,KELAPA GADING,Asia/Jakarta,Deal
4,7868de02df01c129e367b44f1b60935c,Online,2023-09-23T12:05:13.078Z,KELAPA GADING,Asia/Jakarta,Maybe
5,7868de02df01c129e367b44f1b60935c,Online,2023-09-23T12:05:13.078Z,KELAPA GADING,Asia/Jakarta,Fresh
6,7868de02df01c129e367b44f1b60935c,Online,2023-09-23T12:05:13.078Z,KELAPA GADING,Asia/Jakarta,Fresh
7,bb016badf799826be20cf1385695acc9,Online,2024-04-08T18:15:17.676Z,PONDOK INDAH,Asia/Jakarta,Warm
8,eb78e1daee9d138f28b7b936dd8ed2a5,Online,2023-11-28T21:34:47.586Z,BEKASI,Asia/Jakarta,Maybe
9,0a0c05cc913f1c85cb9bf5ac844282a8,Online,2024-03-21T19:27:47.932Z,BEKASI,Asia/Jakarta,Warm
10,0a0c05cc913f1c85cb9bf5ac844282a8,Online,2024-03-21T19:27:47.932Z,BEKASI,Asia/Jakarta,Maybe
11,a562edd9a043d685a6c64073a073e8c1,Offline,2024-04-25T04:36:56.337Z,SENAYAN,Asia/Jakarta,Maybe
12,a562edd9a043d685a6c64073a073e8c1,Offline,2024-04-25T04:36:56.337Z,SENAYAN,Asia/Jakarta,Fresh
13,c8665ed62d36ca5dc6f461949a3839ca,Offline,2024-07-22T16:43:04.554Z,BSD,Asia/Jakarta,Deal
14,c8665ed62d36ca5dc6f461949a3839ca,Offline,2024-07-22T16:43:04.554Z,BSD,Asia/Jakarta,Lost
15,c41754cb35ffcb8c2e08ab05c6b43f6f,Offline,2023-10-26T07:01:01.728Z,PIK,Asia/Jakarta,Warm
16,f1ef1e2cfcc5ba506637e5b0a29f239a,Online,2023-10-16T08:00:30.789Z,BENHIL,Asia/Jakarta,Maybe
17,f1ef1e2cfcc5ba506637e5b0a29f239a,Online,2023-10-16T08:00:30.789Z,BENHIL,Asia/Jakarta,Fresh
18,a2eb647752e901682905b2915de6095a,Online,2023-11-30T07:54:31.446Z,KUNINGAN,Asia/Jakarta,Appointment
19,a2eb647752e901682905b2915de6095a,Online,2023-11-30T07:54:31.446Z,KUNINGAN,Asia/Jakarta,Fresh
20,becd855a1678fc24f4f0f3d788178869,Online,2023-09-02T09:33:34.163Z,PANCORAN,Asia/Jakarta,Lost
21,e18a5d068092d709f0a3b5402d4df8e9,Offline,2024-08-09T21:15:38.806Z,PIK,Asia/Jakarta,Fresh
22,fe2f88a4efcfacbe5170a109355938cc,Online,2023-10-03T11:06:39.551Z,TANGERANG,Asia/Jakarta,Deal
23,fe2f88a4efcfacbe5170a109355938cc,Online,2023-10-03T11:06:39.551Z,TANGERANG,Asia/Jakarta,Follow Up
24,4085967fc4f7a72f9a44c0049046a045,Online,2024-07-30T14:33:30.514Z,ALAM SUTERA,Asia/Jakarta,Warm
25,cea506067f009fe81674cef8b2e33d4b,Offline,2024-07-31T17:22:43.230Z,GAJAH MADA,Asia/Jakarta,Follow Up
26,cea506067f009fe81674cef8b2e33d4b,Offline,2024-07-31T17:22:43.230Z,GAJAH MADA,Asia/Jakarta,Fresh
27,cea506067f009fe81674cef8b2e33d4b,Offline,2024-07-31T17:22:43.230Z,GAJAH MADA,Asia/Jakarta,Lost
28,cea506067f009fe81674cef8b2e33d4b,Offline,2024-07-31T17:22:43.230Z,GAJAH MADA,Asia/Jakarta,Warm
29,f8fb2b6e40e3a66eee926ec2c46344e7,Online,2024-06-30T20:32:59.896Z,BOGOR,Asia/Jakarta,Fresh
30,f8fb2b6e40e3a66eee926ec2c46344e7,Online,2024-06-30T20:32:59.896Z,BOGOR,Asia/Jakarta,No Response
31,7cf0d494f0d606736a8a0ceec5d4c30b,Online,2024-08-02T05:18:10.437Z,DEPOK,Asia/Jakarta,Fresh
32,90bc1bec8a85328d3ce53bf00f167243,Offline,2023-12-06T01:05:04.034Z,PIK,Asia/Jakarta,Warm
33,90bc1bec8a85328d3ce53bf00f167243,Offline,2023-12-06T01:05:04.034Z,PIK,Asia/Jakarta,Fresh
34,fdd8dad96a2da2b874af7a6b16607904,Online,2024-08-12T21:25:22.672Z,PLUIT,Asia/Jakarta,Deal
35,fdd8dad96a2da2b874af7a6b16607904,Online,2024-08-12T21:25:22.672Z,PLUIT,Asia/Jakarta,No Response
36,fdd8dad96a2da2b874af7a6b16607904,Online,2024-08-12T21:25:22.672Z,PLUIT,Asia/Jakarta,Appointment
37,cba43037777e760fee4076a69587ed75,Online,2024-08-24T01:31:32.518Z,SUDIRMAN,Asia/Jakarta,Warm
38,cba43037777e760fee4076a69587ed75,Online,2024-08-24T01:31:32.518Z,SUDIRMAN,Asia/Jakarta,Deal
39,cba43037777e760fee4076a69587ed75,Online,2024-08-24T01:31:32.518Z,SUDIRMAN,Asia/Jakarta,Fresh
40,79f5ab642010fd3aa6ac3477022bf7d9,Online,2024-04-09T03:28:35.849Z,BOGOR,Asia/Jakarta,Warm
41,79f5ab642010fd3aa6ac3477022bf7d9,Online,2024-04-09T03:28:35.849Z,BOGOR,Asia/Jakarta,Deal
42,8f488ca302dab7868e66aaa5a9ce06de,Online,2024-06-07T16:10:27.673Z,SENAYAN,Asia/Jakarta,Maybe
43,8f488ca302dab7868e66aaa5a9ce06de,Online,2024-06-07T16:10:27.673Z,SENAYAN,Asia/Jakarta,Lost
44,8f488ca302dab7868e66aaa5a9ce06de,Online,2024-06-07T16:10:27.673Z,SENAYAN,Asia/Jakarta,Fresh
45,f89e3702310d427a6b525f65e9b0cf67,Offline,2023-10-28T13:01:25.043Z,CILANDAK,Asia/Jakarta,Fresh
46,f89e3702310d427a6b525f65e9b0cf67,Offline,2023-10-28T13:01:25.043Z,CILANDAK,Asia/Jakarta,Lost
47,f89e3702310d427a6b525f65e9b0cf67,Offline,2023-10-28T13:01:25.043Z,CILANDAK,Asia/Jakarta,Fresh
48,304e8a26e9d281503ffac2299d2bf0c3,Online,2023-11-30T21:12:43.043Z,ALAM SUTERA,Asia/Jakarta,Warm
49,13639ee40a6dd73d672edc0c3a6e5086,Online,2023-11-19T19:06:55.381Z,SENAYAN,Asia/Jakarta,Maybe
50,13639ee40a6dd73d672edc0c3a6e5086,Online,2023-11-19T19:06:55.381Z,SENAYAN,Asia/Jakarta,Fresh
51,27a321e3ae4a21e7058ae1c3213d488a,Offline,2024-08-27T23:21:26.605Z,CILANDAK,Asia/Jakarta,Appointment
52,8832e89e385845226d3c3a891b8b524d,Online,2024-06-24T06:47:08.011Z,BEKASI,Asia/Jakarta,Maybe
53,8832e89e385845226d3c3a891b8b524d,Online,2024-06-24T06:47:08.011Z,BEKASI,Asia/Jakarta,Fresh
54,a033a490e6c7fbce9415a6ec22cbfa10,Offline,2024-02-22T08:09:32.391Z,CIKINI,Asia/Jakarta,Fresh
55,a033a490e6c7fbce9415a6ec22cbfa10,Offline,2024-02-22T08:09:32.391Z,CIKINI,Asia/Jakarta,Follow Up
56,813bb3ed22941a90cf8a1a439f5a3413,Online,2024-01-06T12:24:26.631Z,ALAM SUTERA,Asia/Jakarta,Lost
57,3e43e92c09bf32f44297595d9202f617,Online,2023-12-17T21:47:53.163Z,BENHIL,Asia/Jakarta,Warm
58,fa05b440adf9bbf4a93753ad67b62777,Offline,2023-11-08T09:28:09.193Z,PANCORAN,Asia/Jakarta,Fresh
59,fa05b440adf9bbf4a93753ad67b62777,Offline,2023-11-08T09:28:09.193Z,PANCORAN,Asia/Jakarta,Maybe
60,f806b7c5954090c4c75932338cbcf9f6,Offline,2024-07-25T06:01:47.177Z,SUDIRMAN,Asia/Jakarta,Fresh
61,e2075241ad9f9731d9fd82214b7bf475,Online,2024-01-15T22:42:57.308Z,BSD,Asia/Jakarta,Follow Up
62,9cda91438502f3d2392345140bb28f05,Online,2024-07-04T14:16:30.345Z,KUNINGAN,Asia/Jakarta,Appointment
