transaction_id,transaction_status,transaction_at,transaction_location,timezone_transaction,transaction_type
52a1850806116d13af96f0d4214d29a5,PAID,2024-07-11T18:55:06.696Z,CIKINI,Asia/Jakarta,NEW
7e532c1475791825e6f18cd557c114b1,PENDING,2024-06-22T01:40:22.291Z,SEMINYAK,Asia/Makassar,UPGRADE
5f59734b6e7264268bfa6312a0d24289,PENDING,2024-08-27T20:22:53.670Z,KUNINGAN,Asia/Jakarta,NEW
ecdc661a01325002150d924551df7711,PAID,2024-07-19T12:35:11.023Z,KUNINGAN,Asia/Jakarta,REJOIN
5bec4a1d8e5388a9cc336c37bfc7395c,REFUNDED,2024-03-26T14:51:28.104Z,SEMINYAK,Asia/Makassar,NEW
39ed7ac1aecc72c5cf66fb222ec2dfa5,PAID,2024-02-09T21:54:17.539Z,CIKINI,Asia/Jakarta,REJOIN
f3d038c58d0bead8de228dc9c22910a8,PAID,2024-04-06T12:08:05.195Z,SERPONG,Asia/Jakarta,NEW
88ce7988b787fbef48fd217131ace2ba,PAID,2024-02-06T13:18:45.407Z,MAMPANG,Asia/Jakarta,NEW
a3bf6651557b684f1e3e14e2cddaf688,PAID,2024-03-12T04:53:24.435Z,SERPONG,Asia/Jakarta,NEW
01493410f6e90bff42ea837a4cf008f8,PAID,2024-06-16T20:11:13.672Z,SENAYAN,Asia/Jakarta,REJOIN
68bf5dba65021b421dda4347274ff83f,PAID,2024-02-02T13:55:00.486Z,THAMRIN,Asia/Jakarta,NEW
3c1d2964a1fd2ec9cb7492db86b8ec9d,PAID,2024-03-30T07:12:10.087Z,ARTERI PONDOK INDAH,Asia/Jakarta,RENEWAL
51d8aaa70cb88a1b414b3bf767ac9a12,PENDING,2024-02-21T19:45:37.012Z,SUDIRMAN,Asia/Jakarta,NEW
f137b47cf8417418ff6ee11b459a4157,PAID,2024-06-24T01:23:25.415Z,SERPONG,Asia/Jakarta,UPGRADE
55d0cd1ebe456f956401d4e34835feca,PENDING,2024-06-08T13:44:06.461Z,CIKINI,Asia/Jakarta,NEW
d7e82644ba637a1a18c875c6832855c3,PAID,2024-07-22T13:36:04.215Z,ARTERI PONDOK INDAH,Asia/Jakarta,NEW
04f28ad34367fdd00be7906eddf3128a,EXPIRED,2024-02-03T00:17:20.564Z,SEMINYAK,Asia/Makassar,RENEWAL
5bec4a1d8e5388a9cc336c37bfc7395c,PAID,2024-02-19T16:44:14.641Z,SENAYAN,Asia/Jakarta,REJOIN
b1189639047fae733fb407a64ae3056a,PENDING,2024-03-20T16:46:33.507Z,KEMANG,Asia/Makassar,NEW
d33c4f7236af263f2006eebfe52eb0a6,PAID,2024-01-31T09:16:06.286Z,KELAPA GADING,Asia/Jakarta,NEW
e8c6c4c1b3875b7a3a667c031955f0bb,PENDING,2024-01-26T08:56:21.024Z,SUDIRMAN,Asia/Jakarta,NEW
b7cced270e4b23d7c98626a782611936,PAID,2024-06-28T00:07:15.635Z,BSD,Asia/Jakarta,NEW
