id,reward_value,created_at,reward_type
1,7 days,2024-03-16T02:38:10Z,1
2,7 days,2023-09-13T19:39:52Z,1
3,10 days,2023-10-21T18:51:40Z,1
4,20 days,2023-10-27T06:06:00Z,1
5,15% discount,2024-06-22T20:58:35Z,2
6,15 days,2024-05-22T16:48:21Z,1
7,15% discount,2024-01-18T02:32:38Z,2
8,5 days,2023-12-05T22:46:39Z,1
9,10 days,2023-10-17T05:55:50Z,1
10,14 days,2023-12-02T14:32:45Z,1
11,30 days,2024-02-21T02:15:27Z,1
12,10 days,2024-08-01T16:58:28Z,1
13,7 days,2023-11-03T11:02:39Z,1
14,15 days,2024-07-05T06:41:07Z,1
15,60 days,2024-07-07T22:01:55Z,1
16,15 days,2023-11-26T20:32:31Z,1
17,10 days,2024-03-12T11:31:10Z,1
18,7 days,2024-04-20T01:12:19Z,1
19,5 days,2023-10-28T05:25:27Z,1
20,5 days,2024-08-20T13:19:20Z,1
21,15 days,2024-01-05T12:08:07Z,1
22,Rp 100.000,2023-09-05T18:08:06Z,3
23,10 days,2024-01-21T03:13:09Z,1
24,5 days,2023-12-31T21:44:21Z,1
25,5 days,2024-02-02T14:32:04Z,1
26,14 days,2024-07-02T01:14:39Z,1
27,10 days,2024-06-14T21:22:45Z,1
28,5 days,2024-07-29T13:32:50Z,1
29,10 days,2024-07-01T13:11:27Z,1
30,Rp 25.000,2024-02-15T23:29:57Z,3
31,14 days,2023-09-29T04:55:13Z,1
32,60 days,2024-03-08T20:18:38Z,1
33,30 days,2024-04-20T03:15:48Z,1
34,10 days,2024-04-20T01:46:32Z,1
35,5 days,2023-09-27T19:08:45Z,1
36,15 days,2023-09-15T10:28:33Z,1
37,30 days,2023-12-02T03:41:36Z,1
38,90 days,2023-09-02T02:23:45Z,1
39,7 days,2024-01-30T14:52:38Z,1
40,20 days,2024-02-05T21:50:26Z,1
41,10 days,2023-10-26T05:31:01Z,1
42,5 days,2024-04-23T11:13:08Z,1
43,10 days,2024-01-17T21:00:18Z,1
44,7 days,2023-10-01T11:09:45Z,1
45,30 days,2023-12-31T02:50:09Z,1
46,20 days,2024-07-25T12:46:50Z,1
47,30 days,2024-04-03T14:33:57Z,1
48,5 days,2024-04-17T22:31:07Z,1
49,10 days,2024-08-15T04:53:50Z,1
50,10 days,2024-01-25T23:39:18Z,1
51,10 days,2023-11-19T18:56:20Z,1
52,5 days,2024-01-21T00:50:30Z,1
53,10 days,2024-08-23T12:41:46Z,1
54,15 days,2024-04-08T04:53:11Z,1
55,7 days,2024-04-09T09:08:05Z,1
56,14 days,2024-06-13T16:21:58Z,1
57,20 days,2024-01-02T22:58:36Z,1
58,30 days,2023-09-08T14:12:52Z,1
59,5 days,2024-06-26T12:08:31Z,1
60,15 days,2024-02-12T05:46:16Z,1
61,15 days,2024-07-17T20:23:18Z,1
62,15% discount,2023-11-19T01:41:03Z,2
63,15 days,2024-06-03T17:47:25Z,1
64,30 days,2024-03-27T03:07:33Z,1
65,10 days,2024-06-10T10:39:30Z,1
66,7 days,2024-08-29T10:35:07Z,1
67,15 days,2024-08-01T08:05:19Z,1
68,10 days,2023-12-07T12:26:18Z,1
69,10 days,2023-11-08T23:18:50Z,1
70,7 days,2024-03-09T15:22:11Z,1
71,20 days,2023-11-28T11:06:02Z,1
72,10 days,2023-10-30T17:54:27Z,1
73,7 days,2024-05-27T22:55:26Z,1
74,15 days,2023-12-17T09:41:49Z,1
75,20 days,2024-05-24T10:26:37Z,1
76,15 days,2023-12-29T10:23:55Z,1
77,15 days,2024-01-08T15:11:19Z,1
78,10 days,2024-01-28T04:51:35Z,1
79,5 days,2024-03-07T04:12:16Z,1
80,15 days,2024-01-18T15:51:25Z,1
81,10% discount,2023-10-28T19:46:08Z,2
82,14 days,2023-09-14T19:22:04Z,1
83,5 days,2024-05-17T05:19:44Z,1
84,10 days,2024-03-09T16:15:54Z,1
85,90 days,2023-12-04T18:52:50Z,1
86,5 days,2024-04-01T03:29:25Z,1
87,5 days,2024-02-25T13:25:23Z,1
88,10% discount,2023-09-02T23:29:20Z,2
89,30 days,2024-02-05T03:18:21Z,1
90,10 days,2023-12-27T20:31:08Z,1
91,45 days,2024-06-19T04:09:04Z,1
92,15 days,2024-03-07T23:38:21Z,1
93,15 days,2024-01-27T06:16:57Z,1
94,20 days,2024-02-01T07:43:58Z,1
95,10 days,2024-01-12T03:26:19Z,1
96,7 days,2024-05-19T01:57:35Z,1
97,10 days,2024-05-25T13:04:21Z,1
98,Rp 100.000,2024-05-03T03:17:52Z,3
99,14 days,2024-07-06T09:39:08Z,1
100,7 days,2023-11-08T04:28:54Z,1
101,10 days,2024-08-12T20:13:47Z,1
102,10 days,2024-04-22T20:06:16Z,1
103,5 days,2023-10-19T11:01:11Z,1
104,15 days,2024-01-12T06:29:27Z,1
105,5% discount,2023-10-29T23:18:01Z,2
106,30 days,2024-04-23T13:10:35Z,1
107,15 days,2024-04-20T01:59:23Z,1
108,30 days,2023-12-05T09:41:55Z,1
109,7 days,2024-05-19T16:13:06Z,1
110,14 days,2024-02-26T06:26:11Z,1
111,10 days,2023-09-10T15:37:21Z,1
112,5 days,2024-03-18T21:06:25Z,1
113,7 days,2024-04-01T21:22:45Z,1
114,20 days,2023-11-23T00:41:18Z,1
115,15 days,2023-12-09T21:14:51Z,1
116,7 days,2024-08-20T09:19:46Z,1
117,45 days,2024-02-07T13:31:03Z,1
118,30 days,2023-09-06T13:51:33Z,1
119,7 days,2024-06-29T16:33:45Z,1
120,25% discount,2024-03-12T05:31:25Z,2
121,15 days,2024-03-18T14:27:20Z,1
122,30 days,2024-02-13T05:26:39Z,1
123,20 days,2024-05-20T11:28:12Z,1
124,15 days,2023-09-05T18:53:56Z,1
125,15 days,2023-09-24T21:22:18Z,1
126,20 days,2023-11-21T21:26:27Z,1
127,7 days,2023-11-16T06:54:36Z,1
128,5 days,2024-06-13T12:11:52Z,1
129,30 days,2024-07-21T17:58:58Z,1
130,10 days,2024-06-12T20:39:58Z,1
131,5 days,2023-12-14T05:13:37Z,1
132,5 days,2024-03-03T01:04:33Z,1
133,45 days,2024-08-28T11:52:01Z,1
134,10 days,2023-09-12T05:53:05Z,1
135,7 days,2024-07-19T18:58:10Z,1
136,30 days,2024-05-14T02:47:42Z,1
137,5 days,2024-08-03T03:11:46Z,1
138,10 days,2023-09-09T14:14:28Z,1
139,30 days,2023-11-01T08:23:54Z,1
140,5 days,2024-02-13T06:40:03Z,1
141,15 days,2024-04-03T20:25:37Z,1
142,7 days,2024-06-12T10:56:07Z,1
143,15 days,2024-03-05T10:08:41Z,1
144,5 days,2024-04-02T20:24:43Z,1
145,14 days,2023-11-19T20:45:36Z,1
146,14 days,2024-01-28T19:42:31Z,1
147,30 days,2024-08-22T05:33:42Z,1
148,7 days,2023-12-12T21:06:00Z,1
149,15 days,2023-12-14T20:46:14Z,1
150,Rp 10.000,2023-11-16T23:02:04Z,3
151,7 days,2023-12-14T19:15:58Z,1
152,7 days,2024-01-04T05:53:00Z,1
153,7 days,2024-08-28T04:48:58Z,1
154,7 days,2024-01-12T20:29:05Z,1
155,15 days,2023-11-25T19:01:40Z,1
